"","time","kobe"
"1",1,-143
"2",2,-114
"3",3,4609
"4",4,7309
"5",5,3372
"6",6,-2305
"7",7,-885
"8",8,6750
"9",9,9453
"10",10,2705
"11",11,-4159
"12",12,-2192
"13",13,5697
"14",14,10021
"15",15,5265
"16",16,-3613
"17",17,-5073
"18",18,3978
"19",19,11252
"20",20,6387
"21",21,-2903
"22",22,-3578
"23",23,3737
"24",24,8423
"25",25,5460
"26",26,220
"27",27,-636
"28",28,2385
"29",29,4768
"30",30,4436
"31",31,2388
"32",32,1385
"33",33,2873
"34",34,3788
"35",35,2116
"36",36,1195
"37",37,2915
"38",38,4690
"39",39,4508
"40",40,2387
"41",41,-160
"42",42,110
"43",43,4193
"44",44,7234
"45",45,4307
"46",46,-828
"47",47,-718
"48",48,3518
"49",49,5307
"50",50,3764
"51",51,2353
"52",52,2233
"53",53,2239
"54",54,2094
"55",55,2912
"56",56,4469
"57",57,4185
"58",58,1824
"59",59,1315
"60",60,3277
"61",61,3268
"62",62,1630
"63",63,3067
"64",64,5462
"65",65,3138
"66",66,-884
"67",67,345
"68",68,4791
"69",69,5893
"70",70,3503
"71",71,821
"72",72,-353
"73",73,1791
"74",74,5900
"75",75,6255
"76",76,1642
"77",77,-1291
"78",78,1486
"79",79,5374
"80",80,5260
"81",81,2756
"82",82,1600
"83",83,1799
"84",84,2176
"85",85,3066
"86",86,3905
"87",87,3607
"88",88,2877
"89",89,2611
"90",90,2260
"91",91,1415
"92",92,1292
"93",93,3279
"94",94,5626
"95",95,4749
"96",96,1084
"97",97,-859
"98",98,969
"99",99,3998
"100",100,5660
"101",101,5715
"102",102,3439
"103",103,-962
"104",104,-2186
"105",105,3435
"106",106,9252
"107",107,6440
"108",108,-1816
"109",109,-3725
"110",110,3482
"111",111,8978
"112",112,5067
"113",113,-1797
"114",114,-1843
"115",115,4082
"116",116,7267
"117",117,3923
"118",118,-473
"119",119,92
"120",120,4564
"121",121,8977
"122",122,10341
"123",123,6017
"124",124,776
"125",125,2624
"126",126,4891
"127",127,-2723
"128",128,-10045
"129",129,-3306
"130",130,6223
"131",131,2759
"132",132,-3525
"133",133,318
"134",134,5871
"135",135,5398
"136",136,4405
"137",137,5541
"138",138,4640
"139",139,1613
"140",140,1088
"141",141,4075
"142",142,6975
"143",143,7297
"144",144,4979
"145",145,-191
"146",146,-5025
"147",147,-3218
"148",148,3544
"149",149,7349
"150",150,6868
"151",151,4538
"152",152,1515
"153",153,1324
"154",154,4150
"155",155,4074
"156",156,193
"157",157,-1834
"158",158,816
"159",159,5342
"160",160,7432
"161",161,5095
"162",162,220
"163",163,-2140
"164",164,1378
"165",165,6289
"166",166,5903
"167",167,2783
"168",168,1975
"169",169,1998
"170",170,1745
"171",171,2526
"172",172,3559
"173",173,4088
"174",174,4095
"175",175,2742
"176",176,-67
"177",177,-1822
"178",178,1117
"179",179,7147
"180",180,8849
"181",181,3393
"182",182,-2309
"183",183,-1612
"184",184,3196
"185",185,6526
"186",186,5602
"187",187,1122
"188",188,-2172
"189",189,-596
"190",190,3867
"191",191,6623
"192",192,4783
"193",193,375
"194",194,-493
"195",195,4133
"196",196,8130
"197",197,6212
"198",198,1578
"199",199,226
"200",200,1631
"201",201,1726
"202",202,1497
"203",203,2557
"204",204,2472
"205",205,1263
"206",206,1653
"207",207,3812
"208",208,5814
"209",209,5501
"210",210,3352
"211",211,3078
"212",212,5254
"213",213,5064
"214",214,276
"215",215,-3685
"216",216,-1595
"217",217,3693
"218",218,6262
"219",219,3930
"220",220,-781
"221",221,-1890
"222",222,3853
"223",223,10947
"224",224,10879
"225",225,3778
"226",226,-2685
"227",227,-3859
"228",228,67
"229",229,5663
"230",230,6362
"231",231,1082
"232",232,-1972
"233",233,1631
"234",234,5441
"235",235,4123
"236",236,2599
"237",237,5431
"238",238,7553
"239",239,4107
"240",240,-1406
"241",241,-2660
"242",242,1787
"243",243,6081
"244",244,4416
"245",245,-607
"246",246,-2576
"247",247,495
"248",248,5969
"249",249,8858
"250",250,5126
"251",251,-898
"252",252,71
"253",253,6174
"254",254,6341
"255",255,628
"256",256,-1168
"257",257,1638
"258",258,2851
"259",259,2242
"260",260,1838
"261",261,760
"262",262,781
"263",263,4677
"264",264,8211
"265",265,5836
"266",266,1447
"267",267,2082
"268",268,5767
"269",269,4912
"270",270,-1362
"271",271,-5416
"272",272,-1855
"273",273,5210
"274",274,8475
"275",275,6496
"276",276,3173
"277",277,1949
"278",278,2737
"279",279,3216
"280",280,1719
"281",281,-368
"282",282,503
"283",283,4256
"284",284,6034
"285",285,4098
"286",286,2317
"287",287,2730
"288",288,2989
"289",289,2036
"290",290,1653
"291",291,1866
"292",292,1388
"293",293,1152
"294",294,2073
"295",295,2958
"296",296,3135
"297",297,3946
"298",298,5788
"299",299,5347
"300",300,1964
"301",301,2102
"302",302,7708
"303",303,9717
"304",304,3210
"305",305,-3099
"306",306,-1800
"307",307,2360
"308",308,3930
"309",309,4092
"310",310,3639
"311",311,1428
"312",312,-555
"313",313,1086
"314",314,4571
"315",315,4616
"316",316,1131
"317",317,-1037
"318",318,207
"319",319,3113
"320",320,5563
"321",321,6037
"322",322,4636
"323",323,3403
"324",324,3254
"325",325,3124
"326",326,2879
"327",327,3339
"328",328,3632
"329",329,1623
"330",330,-2856
"331",331,-5016
"332",332,374
"333",333,8624
"334",334,9511
"335",335,3058
"336",336,-1576
"337",337,-118
"338",338,4406
"339",339,7735
"340",340,7118
"341",341,3226
"342",342,36
"343",343,4
"344",344,1891
"345",345,3434
"346",346,3492
"347",347,2456
"348",348,1613
"349",349,1417
"350",350,1080
"351",351,1374
"352",352,4124
"353",353,6499
"354",354,3757
"355",355,-976
"356",356,-413
"357",357,4594
"358",358,6630
"359",359,4044
"360",360,2158
"361",361,3193
"362",362,4010
"363",363,2609
"364",364,787
"365",365,1259
"366",366,3561
"367",367,3974
"368",368,1464
"369",369,-790
"370",370,-867
"371",371,862
"372",372,3544
"373",373,5094
"374",374,4646
"375",375,3892
"376",376,3586
"377",377,3736
"378",378,4579
"379",379,5266
"380",380,5349
"381",381,4348
"382",382,1290
"383",383,-1397
"384",384,-1196
"385",385,121
"386",386,2490
"387",387,6070
"388",388,4555
"389",389,-3067
"390",390,-4757
"391",391,4658
"392",392,12036
"393",393,6339
"394",394,-3779
"395",395,-3667
"396",396,4996
"397",397,9090
"398",398,5300
"399",399,1385
"400",400,1486
"401",401,3034
"402",402,3884
"403",403,3593
"404",404,2095
"405",405,991
"406",406,1769
"407",407,3411
"408",408,4161
"409",409,3122
"410",410,823
"411",411,-76
"412",412,2832
"413",413,7157
"414",414,7023
"415",415,2142
"416",416,31
"417",417,4167
"418",418,7564
"419",419,3821
"420",420,-2903
"421",421,-4204
"422",422,1542
"423",423,7786
"424",424,7704
"425",425,2078
"426",426,-1767
"427",427,791
"428",428,5715
"429",429,6333
"430",430,2225
"431",431,-1557
"432",432,-1010
"433",433,3092
"434",434,6537
"435",435,5921
"436",436,1469
"437",437,-2341
"438",438,-617
"439",439,4717
"440",440,6984
"441",441,4885
"442",442,2362
"443",443,948
"444",444,545
"445",445,2832
"446",446,6816
"447",447,6504
"448",448,-106
"449",449,-4552
"450",450,637
"451",451,9090
"452",452,9658
"453",453,2236
"454",454,-3550
"455",455,-1831
"456",456,3419
"457",457,6073
"458",458,5333
"459",459,3013
"460",460,621
"461",461,699
"462",462,3987
"463",463,6409
"464",464,4126
"465",465,-999
"466",466,-3515
"467",467,-558
"468",468,4179
"469",469,5091
"470",470,3561
"471",471,4247
"472",472,5226
"473",473,3726
"474",474,3200
"475",475,4981
"476",476,5164
"477",477,3138
"478",478,1255
"479",479,-2
"480",480,384
"481",481,3091
"482",482,4754
"483",483,2668
"484",484,-216
"485",485,-120
"486",486,1607
"487",487,1807
"488",488,1233
"489",489,2705
"490",490,5463
"491",491,5744
"492",492,3747
"493",493,3276
"494",494,4424
"495",495,4526
"496",496,3767
"497",497,3379
"498",498,2506
"499",499,397
"500",500,-956
"501",501,883
"502",502,3590
"503",503,2569
"504",504,2
"505",505,1637
"506",506,5246
"507",507,4848
"508",508,1936
"509",509,1318
"510",510,3188
