"","word","freq"
"oil","oil",85
"said","said",73
"prices","prices",48
"opec","opec",42
"mln","mln",31
"the","the",26
"last","last",24
"bpd","bpd",23
"dlrs","dlrs",23
"crude","crude",21
"market","market",20
"reuter","reuter",20
"saudi","saudi",18
"will","will",18
"one","one",17
"barrel","barrel",15
"kuwait","kuwait",14
"new","new",14
"official","official",14
"pct","pct",14
"price","price",13
"barrels","barrels",11
"government","government",11
"production","production",11
"sheikh","sheikh",11
"industry","industry",10
"meeting","meeting",10
"minister","minister",10
"world","world",10
"also","also",9
"billion","billion",9
"futures","futures",9
"month","month",9
"output","output",9
"petroleum","petroleum",9
"quota","quota",9
"sources","sources",9
"accord","accord",8
"analysts","analysts",8
"but","but",8
"group","group",8
"gulf","gulf",8
"january","january",8
"markets","markets",8
"report","report",8
"today","today",8
"december","december",7
"demand","demand",7
"economic","economic",7
"economy","economy",7
"energy","energy",7
"help","help",7
"international","international",7
"may","may",7
"nazer","nazer",7
"nymex","nymex",7
"posted","posted",7
"present","present",7
"they","they",7
"traders","traders",7
"158","158",6
"ability","ability",6
"agreement","agreement",6
"ali","ali",6
"april","april",6
"arabia","arabia",6
"budget","budget",6
"emergency","emergency",6
"exchange","exchange",6
"hold","hold",6
"imports","imports",6
"members","members",6
"recent","recent",6
"riyals","riyals",6
"says","says",6
"sell","sell",6
"years","years",6
"abdulaziz","abdulaziz",5
"agency","agency",5
"arab","arab",5
"ceiling","ceiling",5
"company","company",5
"contract","contract",5
"daily","daily",5
"emirates","emirates",5
"expected","expected",5
"expenditure","expenditure",5
"exports","exports",5
"growth","growth",5
"now","now",5
"opecs","opecs",5
"plans","plans",5
"qatar","qatar",5
"quoted","quoted",5
"research","research",5
"reserve","reserve",5
"reserves","reserves",5
"states","states",5
"study","study",5
"united","united",5
"way","way",5
"week","week",5
"west","west",5
"year","year",5
"150","150",4
"according","according",4
"added","added",4
"among","among",4
"asked","asked",4
"brings","brings",4
"buyers","buyers",4
"can","can",4
"change","change",4
"corp","corp",4
"cut","cut",4
"day","day",4
"development","development",4
"effective","effective",4
"exploration","exploration",4
"fall","fall",4
"february","february",4
"fell","fell",4
"free","free",4
"higher","higher",4
"increase","increase",4
"levels","levels",4
"meet","meet",4
"must","must",4
"never","never",4
"per","per",4
"policy","policy",4
"power","power",4
"problem","problem",4
"producing","producing",4
"protect","protect",4
"pumping","pumping",4
"reduced","reduced",4
"revenue","revenue",4
"revenues","revenues",4
"rise","rise",4
"saying","saying",4
"set","set",4
"since","since",4
"spa","spa",4
"strategic","strategic",4
"texas","texas",4
"this","this",4
"total","total",4
"transaction","transaction",4
"weak","weak",4
"yesterday","yesterday",4
"13nation","13nation",3
"1985","1985",3
"198586","198586",3
"1986","1986",3
"1987","1987",3
"198788","198788",3
"address","address",3
"agreed","agreed",3
"alkhalifa","alkhalifa",3
"alqabas","alqabas",3
"alsabah","alsabah",3
"announced","announced",3
"appears","appears",3
"arabian","arabian",3
"arabias","arabias",3
"around","around",3
"average","average",3
"back","back",3
"bank","bank",3
"bbl","bbl",3
"boost","boost",3
"called","called",3
"commitment","commitment",3
"companies","companies",3
"compared","compared",3
"countrys","countrys",3
"current","current",3
"decrease","decrease",3
"denied","denied",3
"dollars","dollars",3
"domestic","domestic",3
"due","due",3
"efp","efp",3
"estimate","estimate",3
"estimates","estimates",3
"export","export",3
"fixed","fixed",3
"foreign","foreign",3
"four","four",3
"future","future",3
"grade","grade",3
"guard","guard",3
"high","high",3
"hisham","hisham",3
"however","however",3
"inc","inc",3
"indonesia","indonesia",3
"indonesias","indonesias",3
"intermediate","intermediate",3
"kingdoms","kingdoms",3
"kuwaits","kuwaits",3
"local","local",3
