"","a","b","c","d"
"1",43,31,68,34
"2",61,27,56,39
"3",37,41,74,46
"4",54,36,62,41
"5",56,34,82,40
"6",73,29,79,35
"7",62,30,69,43
"8",48,19,73,34
"9",68,28,72,45
"10",46,38,68,38
"11",61,27,85,41
"12",34,30,48,37
"13",79,29,76,31
"14",21,38,70,43
"15",45,34,83,48
"16",46,26,77,28
"17",33,27,73,39
"18",51,26,69,51
"19",34,27,75,38
"20",9,35,83,45
"21",47,27,83,42
"22",64,26,73,37
"23",45,20,69,35
"24",21,27,78,40
"25",65,32,65,35
"26",22,26,66,37
"27",59,26,82,40
"28",48,29,71,40
"29",59,38,76,32
"30",60,24,65,42
"31",68,26,78,39
"32",56,31,78,38
"33",70,29,63,47
"34",9,22,82,38
"35",74,35,76,33
"36",36,21,65,48
"37",53,39,74,43
"38",68,39,65,45
"39",17,37,81,42
"40",59,28,68,35
"41",60,25,76,40
"42",65,28,65,34
"43",4,23,49,36
"44",41,31,73,43
"45",28,33,69,45
"46",58,29,63,39
"47",61,32,55,44
"48",36,28,70,37
"49",44,29,75,37
"50",20,28,62,49
"51",27,27,68,38
"52",45,31,66,41
"53",62,26,78,34
"54",22,34,67,45
"55",65,28,58,41
"56",29,16,60,30
"57",53,32,69,46
"58",73,41,78,46
"59",73,29,60,44
"60",41,31,69,33
"61",45,30,67,38
"62",22,32,56,38
"63",37,22,86,47
"64",52,22,64,35
"65",58,25,92,38
"66",58,34,78,44
"67",36,26,72,50
"68",53,24,70,49
"69",49,30,73,34
"70",49,21,59,24
"71",80,32,78,35
"72",82,28,70,40
"73",73,34,61,39
"74",48,35,74,42
"75",14,32,59,46
"76",29,36,72,43
"77",56,30,72,42
"78",24,30,60,32
"79",53,36,69,37
"80",49,25,54,42
"81",87,35,58,41
"82",72,25,49,37
"83",40,31,73,39
"84",39,33,79,43
"85",15,33,81,53
"86",59,26,55,43
"87",50,29,67,45
"88",77,29,78,36
"89",64,29,57,44
"90",81,39,67,36
"91",77,31,66,42
"92",49,33,84,47
"93",43,37,67,39
"94",36,32,74,41
"95",56,26,75,46
"96",34,30,76,35
"97",41,26,67,37
"98",77,40,77,30
"99",60,27,67,36
"100",34,30,68,38
