"Package","Item","Title","unique"
"biotools","brazil","Brazil Grid","biotoolsbrazil"
"biotools","maize","Maize Data","biotoolsmaize"
"biotools","moco","Moco Cotton Data","biotoolsmoco"
"biotools","peppercorr","Correlations Between Pepper Variables","biotoolspeppercorr"
"d3Network","MisLinks","A data file of links from Knuth's Les Miserables characters data base.","d3NetworkMisLinks"
"d3Network","MisNodes","A data file of nodes from Knuth's Les Miserables characters data base.","d3NetworkMisNodes"
"expm","matStig","Stig's ""infamous"" Example Matrix","expmmatStig"
"extRemes","CarcasonneHeat","European Climate Assessment and Dataset","extRemesCarcasonneHeat"
"extRemes","damage","Hurricane Damage Data","extRemesdamage"
"extRemes","Denmint","Denver Minimum Temperature","extRemesDenmint"
"extRemes","Denversp","Denver July hourly precipitation amount.","extRemesDenversp"
"extRemes","FCwx","Fort Collins, Colorado Weather Data","extRemesFCwx"
"extRemes","Flood","United States Total Economic Damage Resulting from Floods","extRemesFlood"
"extRemes","Fort","Daily precipitation amounts in Fort Collins, Colorado.","extRemesFort"
"extRemes","ftcanmax","Annual Maximum Precipitation: Fort Collins, Colorado","extRemesftcanmax"
"extRemes","HEAT","Summer Maximum and Minimum Temperature: Phoenix, Arizona","extRemesHEAT"
"extRemes","Ozone4H","Ground-Level Ozone Order Statistics.","extRemesOzone4H"
"extRemes","Peak","Salt River Peak Stream Flow","extRemesPeak"
"extRemes","PORTw","Annual Maximum and Minimum Temperature","extRemesPORTw"
"extRemes","Potomac","Potomac River Peak Stream Flow Data.","extRemesPotomac"
"extRemes","Rsum","Hurricane Frequency Dataset.","extRemesRsum"
"extRemes","SEPTsp","Annual Maximum and Minimum Temperature","extRemesSEPTsp"
"extRemes","Tphap","Daily Maximum and Minimum Temperature in Phoenix, Arizona.","extRemesTphap"
"faraway","aatemp","Annual mean temperatures in Ann Arbor, Michigan","farawayaatemp"
"faraway","abrasion","Wear on materials according to type, run and position","farawayabrasion"
"faraway","aflatoxin","aflatoxin dosage and liver cancer in lab animals","farawayaflatoxin"
"faraway","africa","miltary coups and politics in sub-Saharan Africa","farawayafrica"
"faraway","airpass","Airline passengers","farawayairpass"
"faraway","alfalfa","Effects of seed inoculum, irrigation and shade on alfalfa yield","farawayalfalfa"
"faraway","amlxray","Match pair study for AML and Xray link","farawayamlxray"
"faraway","anaesthetic","Time in minutes to eye opening after reversal of anaesthetic.","farawayanaesthetic"
"faraway","babyfood","Respiratory disease rates of babies fed in different ways","farawaybabyfood"
"faraway","beetle","Beetles exposed to fumigant","farawaybeetle"
"faraway","bliss","Insect mortality due to insecticide","farawaybliss"
"faraway","breaking","Breaking strength of materials","farawaybreaking"
"faraway","broccoli","Broccoli weight variation","farawaybroccoli"
"faraway","butterfat","Butterfat content of milk by breed","farawaybutterfat"
"faraway","cathedral","Cathedral nave heights and lengths in England","farawaycathedral"
"faraway","cheddar","Taste of Cheddar cheese","farawaycheddar"
"faraway","chicago","Chicago insurance redlining","farawaychicago"
"faraway","chmiss","Chicago insurance redlining","farawaychmiss"
"faraway","choccake","Chocolate cake experiment with split plot design","farawaychoccake"
"faraway","chredlin","Chicago insurance redlining","farawaychredlin"
"faraway","clot","Blood clotting times","farawayclot"
"faraway","cmob","Social class mobility from 1971 to 1981 in the UK","farawaycmob"
"faraway","cns","Malformations of the central nervous system","farawaycns"
"faraway","coagulation","Blood coagulation times by diet","farawaycoagulation"
"faraway","composite","Strength of a thermoplastic composite depending on two factors","farawaycomposite"
"faraway","cornnit","Corn yields from nitrogen application","farawaycornnit"
"faraway","corrosion","Corrosion loss in Cu-Ni alloys","farawaycorrosion"
"faraway","cpd","Projected and actual sales of 20 consumer products","farawaycpd"
"faraway","crawl","Crawling babies by month","farawaycrawl"
"faraway","ctsib","Effects of surface and vision on balance.","farawayctsib"
"faraway","death","Death penalty in Florida 1977","farawaydeath"
"faraway","debt","psychology of debt","farawaydebt"
"faraway","denim","Denim wastage by supplier","farawaydenim"
"faraway","diabetes","Diabetes and obesity, cardiovascular risk factors","farawaydiabetes"
"faraway","dicentric","Radiation dose effects on chromosomal abnormality","farawaydicentric"
"faraway","divusa","Divorce in the USA 1920-1996","farawaydivusa"
