"","Chromosome","Position","Name"
"1",1,1036185,"R:A-MEXP-192:RP11-465B22"
"2",1,2078912,"R:A-MEXP-192:RP11-82D16_1"
"3",1,3588274,"R:A-MEXP-192:RP11-62M23_2"
"4",1,4366573,"R:A-MEXP-192:RP11-111O5_1"
"5",1,5877817,"R:A-MEXP-192:RP11-49J3"
"6",1,6062011,"R:A-MEXP-192:RP11-426J21"
"7",1,6293700,"R:A-MEXP-192:RP11-51B04"
"8",1,6896255,"R:A-MEXP-192:RP11-402E10"
"9",1,7041726,"R:A-MEXP-192:RP11-60J11_1"
"10",1,7653234,"R:A-MEXP-192:RP11-338N10"
"11",1,10405490,"R:A-MEXP-192:RP11-199O1_1"
"12",1,12123747,"R:A-MEXP-192:RP11-188F7_1"
"13",1,13714422,"R:A-MEXP-192:RP11-178M15_1"
"14",1,14486429,"R:A-MEXP-192:RP11-285P3"
"15",1,14642995,"R:A-MEXP-192:RP11-219F4_1"
"16",1,15503411,"R:A-MEXP-192:RP11-265F14_1"
"17",1,15615762,"R:A-MEXP-192:RP11-390B07"
"18",1,15615784,"R:A-MEXP-192:RP11-_SEQ_MOVED_1016M08"
"19",1,16342437,"R:A-MEXP-192:RP11-349O14"
"20",1,16386490,"R:A-MEXP-192:RP11-430L17"
"21",1,16470443,"R:A-MEXP-192:RP11-412G13"
"22",1,16679325,"R:A-MEXP-192:RP11-45I3"
"23",1,18127843,"R:A-MEXP-192:RP11-174G17"
"24",1,18699482,"R:A-MEXP-192:RP11-145C4_1"
"25",1,19548736,"R:A-MEXP-192:RP11-251K5_1"
"26",1,20097074,"R:A-MEXP-192:RP11-224F8_1"
"27",1,20381612,"R:A-MEXP-192:RP11-155L18"
"28",1,21794664,"R:A-MEXP-192:RP11-132G19"
"29",1,22238872,"R:A-MEXP-192:RP11-139H5_1"
"30",1,22562310,"R:A-MEXP-192:RP11-277F18"
"31",1,23109720,"R:A-MEXP-192:RP11-72I19"
"32",1,23544768,"R:A-MEXP-192:RP11-57F20"
"33",1,24369881,"R:A-MEXP-192:RP11-509F14"
"34",1,24896706,"R:A-MEXP-192:RP11-1055N23"
"35",1,26845313,"R:A-MEXP-192:RP11-285H13_1"
"36",1,27618262,"R:A-MEXP-192:RP11-4O6_1"
"37",1,27810976,"R:A-MEXP-192:RP11-1061A14"
"38",1,30388849,"R:A-MEXP-192:RP11-276L11"
"39",1,30497531,"R:A-MEXP-192:RP11-253M24_1"
"40",1,30921159,"R:A-MEXP-192:RP11-104J13_1"
"41",1,31882263,"R:A-MEXP-192:RP11-84A19"
